"","Index","From.Date","To.Date","PM25"
"2021-01-02 09:15:00"," 342","2021-01-02 09:15:00","2021-01-02 09:30:00","278.833306315294"
"2021-01-02 09:30:00"," 343","2021-01-02 09:30:00","2021-01-02 09:45:00","278.176669126935"
"2021-01-02 09:45:00"," 344","2021-01-02 09:45:00","2021-01-02 10:00:00","267.123724396016"
"2021-01-02 10:00:00"," 345","2021-01-02 10:00:00","2021-01-02 10:15:00","255.074591621616"
"2021-01-02 10:15:00"," 346","2021-01-02 10:15:00","2021-01-02 10:30:00","243.449904622425"
"2021-01-02 10:30:00"," 347","2021-01-02 10:30:00","2021-01-02 10:45:00","232.310920085378"
"2021-01-02 10:45:00"," 348","2021-01-02 10:45:00","2021-01-02 11:00:00","226.464401228786"
"2021-01-02 11:00:00"," 349","2021-01-02 11:00:00","2021-01-02 11:15:00","221.493955410218"
"2021-01-02 11:15:00"," 350","2021-01-02 11:15:00","2021-01-02 11:30:00","221.5520985994"
"2021-01-02 11:30:00"," 351","2021-01-02 11:30:00","2021-01-02 11:45:00","222.212482098732"
"2021-01-02 11:45:00"," 352","2021-01-02 11:45:00","2021-01-02 12:00:00","222.770621869179"
"2021-01-02 12:00:00"," 353","2021-01-02 12:00:00","2021-01-02 12:15:00","226.321722151832"
"2021-01-02 12:15:00"," 354","2021-01-02 12:15:00","2021-01-02 12:30:00","230.146810398257"
"2021-01-02 12:30:00"," 355","2021-01-02 12:30:00","2021-01-02 12:45:00","233.838748301147"
"2021-01-02 12:45:00"," 356","2021-01-02 12:45:00","2021-01-02 13:00:00","237.383051556231"
"2021-01-02 13:00:00"," 357","2021-01-02 13:00:00","2021-01-02 13:15:00","240.81733818645"
"2021-01-02 13:15:00"," 358","2021-01-02 13:15:00","2021-01-02 13:30:00","241.021123496553"
"2021-01-02 13:30:00"," 359","2021-01-02 13:30:00","2021-01-02 13:45:00","240.773663890418"
"2021-01-02 13:45:00"," 360","2021-01-02 13:45:00","2021-01-02 14:00:00","240.536805810971"
"2021-01-02 14:00:00"," 361","2021-01-02 14:00:00","2021-01-02 14:15:00","145.730514086416"
"2021-01-02 14:15:00"," 362","2021-01-02 14:15:00","2021-01-02 14:30:00","133.621871981341"
"2021-01-02 14:30:00"," 363","2021-01-02 14:30:00","2021-01-02 14:45:00","134.903820095609"
"2021-01-02 14:45:00"," 364","2021-01-02 14:45:00","2021-01-02 15:00:00","137.488689108264"
"2021-01-02 15:00:00"," 365","2021-01-02 15:00:00","2021-01-02 15:15:00","135.600747947166"
"2021-01-02 15:15:00"," 366","2021-01-02 15:15:00","2021-01-02 15:30:00","136.542789690493"
"2021-01-02 15:30:00"," 367","2021-01-02 15:30:00","2021-01-02 15:45:00","137.581100670414"
"2021-01-02 15:45:00"," 368","2021-01-02 15:45:00","2021-01-02 16:00:00","138.354157213234"
"2021-01-02 16:00:00"," 369","2021-01-02 16:00:00","2021-01-02 16:15:00","151.703344842243"
"2021-01-02 16:15:00"," 370","2021-01-02 16:15:00","2021-01-02 16:30:00","153.689298923405"
"2021-01-02 16:30:00"," 371","2021-01-02 16:30:00","2021-01-02 16:45:00","153.749326509992"
"2021-01-02 16:45:00"," 372","2021-01-02 16:45:00","2021-01-02 17:00:00","153.556737481741"
"2021-01-02 17:00:00"," 373","2021-01-02 17:00:00","2021-01-02 17:15:00","187.886467132057"
"2021-01-02 17:15:00"," 374","2021-01-02 17:15:00","2021-01-02 17:30:00","192.134131179607"
"2021-01-02 17:30:00"," 375","2021-01-02 17:30:00","2021-01-02 17:45:00","191.552728095651"
"2021-01-02 17:45:00"," 376","2021-01-02 17:45:00","2021-01-02 18:00:00","190.533231520431"
"2021-01-02 18:00:00"," 377","2021-01-02 18:00:00","2021-01-02 18:15:00","275.493987088278"
"2021-01-02 18:15:00"," 378","2021-01-02 18:15:00","2021-01-02 18:30:00","285.79949197601"
"2021-01-02 18:30:00"," 379","2021-01-02 18:30:00","2021-01-02 18:45:00","284.183586470067"
"2021-01-02 18:45:00"," 380","2021-01-02 18:45:00","2021-01-02 19:00:00","281.534366092678"
"2021-01-02 19:00:00"," 381","2021-01-02 19:00:00","2021-01-02 19:15:00","500.277702865541"
"2021-01-02 19:15:00"," 382","2021-01-02 19:15:00","2021-01-02 19:30:00","526.809100313004"
"2021-01-02 19:30:00"," 383","2021-01-02 19:30:00","2021-01-02 19:45:00","522.647386278988"
"2021-01-02 19:45:00"," 384","2021-01-02 19:45:00","2021-01-02 20:00:00","515.825643868494"
"2021-01-02 20:00:00"," 385","2021-01-02 20:00:00","2021-01-02 20:15:00","623.861130738782"
"2021-01-02 20:15:00"," 386","2021-01-02 20:15:00","2021-01-02 20:30:00","634.501647377899"
"2021-01-02 20:30:00"," 387","2021-01-02 20:30:00","2021-01-02 20:45:00","630.337805415297"
"2021-01-02 20:45:00"," 388","2021-01-02 20:45:00","2021-01-02 21:00:00","657.011065345028"
"2021-01-02 21:00:00"," 389","2021-01-02 21:00:00","2021-01-02 21:15:00","688.89410718173"
"2021-01-02 21:15:00"," 390","2021-01-02 21:15:00","2021-01-02 21:30:00","689.903727970791"
"2021-01-02 21:30:00"," 391","2021-01-02 21:30:00","2021-01-02 21:45:00","686.851160444038"
"2021-01-02 21:45:00"," 392","2021-01-02 21:45:00","2021-01-02 22:00:00","684.11415818013"
"2021-01-02 22:00:00"," 393","2021-01-02 22:00:00","2021-01-02 22:15:00","631.87202971375"
"2021-01-02 22:15:00"," 394","2021-01-02 22:15:00","2021-01-02 22:30:00","624.154008275201"
"2021-01-02 22:30:00"," 395","2021-01-02 22:30:00","2021-01-02 22:45:00","623.965332446036"
"2021-01-02 22:45:00"," 396","2021-01-02 22:45:00","2021-01-02 23:00:00","624.751977426662"
"2021-01-02 23:00:00"," 397","2021-01-02 23:00:00","2021-01-02 23:15:00","500.2556964504"
"2021-01-02 23:15:00"," 398","2021-01-02 23:15:00","2021-01-02 23:30:00","484.893240088687"
"2021-01-02 23:30:00"," 399","2021-01-02 23:30:00","2021-01-02 23:45:00","487.037331498649"
"2021-01-02 23:45:00"," 400","2021-01-02 23:45:00","2021-01-03 00:00:00","439.006977233078"
"2021-01-03"," 401","2021-01-03 00:00:00","2021-01-03 00:15:00","383.619993085399"
"2021-01-03 00:15:00"," 402","2021-01-03 00:15:00","2021-01-03 00:30:00","379.852606549028"
"2021-01-03 00:30:00"," 403","2021-01-03 00:30:00","2021-01-03 00:45:00","383.431982027521"
"2021-01-03 00:45:00"," 404","2021-01-03 00:45:00","2021-01-03 01:00:00","386.958715647351"
"2021-01-03 01:00:00"," 405","2021-01-03 01:00:00","2021-01-03 01:15:00","344.192416008886"
"2021-01-03 01:15:00"," 406","2021-01-03 01:15:00","2021-01-03 01:30:00","294.876134649949"
"2021-01-03 01:30:00"," 407","2021-01-03 01:30:00","2021-01-03 01:45:00","290.985601249645"
"2021-01-03 01:45:00"," 408","2021-01-03 01:45:00","2021-01-03 02:00:00","293.71378536632"
"2021-01-03 02:00:00"," 409","2021-01-03 02:00:00","2021-01-03 02:15:00","269.911238379953"
"2021-01-03 02:15:00"," 410","2021-01-03 02:15:00","2021-01-03 02:30:00","268.611954723351"
"2021-01-03 02:30:00"," 411","2021-01-03 02:30:00","2021-01-03 02:45:00","270.42389402831"
"2021-01-03 02:45:00"," 412","2021-01-03 02:45:00","2021-01-03 03:00:00","272.134513952764"
"2021-01-03 03:00:00"," 413","2021-01-03 03:00:00","2021-01-03 03:15:00","234.931155779985"
"2021-01-03 03:15:00"," 414","2021-01-03 03:15:00","2021-01-03 03:30:00","230.91285338544"
"2021-01-03 03:30:00"," 415","2021-01-03 03:30:00","2021-01-03 03:45:00","232.043609958894"
"2021-01-03 03:45:00"," 416","2021-01-03 03:45:00","2021-01-03 04:00:00","233.505171584399"
