,0,1,2,3,4
290,,,47.0,42.7,36.3
291,,47.0,42.7,36.3,36.0
292,47.0,42.7,36.3,36.0,39.3
293,42.7,36.3,36.0,39.3,
294,36.3,36.0,39.3,,39.6
295,36.0,39.3,,39.6,42.3
296,39.3,,39.6,42.3,47.7
297,,39.6,42.3,47.7,43.1
298,39.6,42.3,47.7,43.1,40.3
299,42.3,47.7,43.1,40.3,44.1
300,47.7,43.1,40.3,44.1,40.5
301,43.1,40.3,44.1,40.5,53.1
302,40.3,44.1,40.5,53.1,58.0
303,44.1,40.5,53.1,58.0,
304,40.5,53.1,58.0,,63.1
305,53.1,58.0,,63.1,54.0
306,58.0,,63.1,54.0,66.4
307,,63.1,54.0,66.4,61.4
308,63.1,54.0,66.4,61.4,44.8
309,54.0,66.4,61.4,44.8,105.4
310,66.4,61.4,44.8,105.4,95.7
311,61.4,44.8,105.4,95.7,74.2
312,44.8,105.4,95.7,74.2,80.3
313,105.4,95.7,74.2,80.3,77.7
314,95.7,74.2,80.3,77.7,87.1
315,74.2,80.3,77.7,87.1,101.6
316,80.3,77.7,87.1,101.6,107.7
317,77.7,87.1,101.6,107.7,111.8
318,87.1,101.6,107.7,111.8,125.6
319,101.6,107.7,111.8,125.6,183.6
320,107.7,111.8,125.6,183.6,208.8
321,111.8,125.6,183.6,208.8,157.8
322,125.6,183.6,208.8,157.8,173.5
323,183.6,208.8,157.8,173.5,235.7
324,208.8,157.8,173.5,235.7,234.1
325,157.8,173.5,235.7,234.1,170.7
326,173.5,235.7,234.1,170.7,203.3
327,235.7,234.1,170.7,203.3,202.2
328,234.1,170.7,203.3,202.2,163.6
329,170.7,203.3,202.2,163.6,156.9
330,203.3,202.2,163.6,156.9,139.8
331,202.2,163.6,156.9,139.8,112.6
332,163.6,156.9,139.8,112.6,93.0
333,156.9,139.8,112.6,93.0,
334,139.8,112.6,93.0,,
335,112.6,93.0,,,81.1
336,93.0,,,81.1,86.2
337,,,81.1,86.2,74.8
338,,81.1,86.2,74.8,68.4
339,81.1,86.2,74.8,68.4,66.4
340,86.2,74.8,68.4,66.4,65.9
341,74.8,68.4,66.4,65.9,63.8
342,68.4,66.4,65.9,63.8,60.6
343,66.4,65.9,63.8,60.6,57.8
344,65.9,63.8,60.6,57.8,51.0
345,63.8,60.6,57.8,51.0,49.1
346,60.6,57.8,51.0,49.1,47.6
347,57.8,51.0,49.1,47.6,41.8
348,51.0,49.1,47.6,41.8,44.9
349,49.1,47.6,41.8,44.9,38.7
350,47.6,41.8,44.9,38.7,36.4
