,0,1,2,3,4
411,53.6,69.2,79.7,61.1,52.8
412,69.2,79.7,61.1,52.8,60.5
413,79.7,61.1,52.8,60.5,53.1
414,61.1,52.8,60.5,53.1,28.4
415,52.8,60.5,53.1,28.4,17.4
416,60.5,53.1,28.4,17.4,19.6
417,53.1,28.4,17.4,19.6,18.6
418,28.4,17.4,19.6,18.6,18.6
419,17.4,19.6,18.6,18.6,21.6
420,19.6,18.6,18.6,21.6,18.8
421,18.6,18.6,21.6,18.8,34.5
422,18.6,21.6,18.8,34.5,21.8
423,21.6,18.8,34.5,21.8,18.5
424,18.8,34.5,21.8,18.5,18.0
425,34.5,21.8,18.5,18.0,16.1
426,21.8,18.5,18.0,16.1,7.1
427,18.5,18.0,16.1,7.1,6.6
428,18.0,16.1,7.1,6.6,5.9
429,16.1,7.1,6.6,5.9,
430,7.1,6.6,5.9,,6.2
431,6.6,5.9,,6.2,3.0
432,5.9,,6.2,3.0,4.9
433,,6.2,3.0,4.9,1.9
434,6.2,3.0,4.9,1.9,6.4
435,3.0,4.9,1.9,6.4,2.1
436,4.9,1.9,6.4,2.1,6.6
437,1.9,6.4,2.1,6.6,4.7
438,6.4,2.1,6.6,4.7,2.4
439,2.1,6.6,4.7,2.4,
440,6.6,4.7,2.4,,2.5
441,4.7,2.4,,2.5,4.4
442,2.4,,2.5,4.4,4.6
443,,2.5,4.4,4.6,
444,2.5,4.4,4.6,,1.3
445,4.4,4.6,,1.3,4.6
446,4.6,,1.3,4.6,3.9
447,,1.3,4.6,3.9,4.0
448,1.3,4.6,3.9,4.0,6.2
449,4.6,3.9,4.0,6.2,5.1
450,3.9,4.0,6.2,5.1,
451,4.0,6.2,5.1,,3.8
452,6.2,5.1,,3.8,5.0
453,5.1,,3.8,5.0,
454,,3.8,5.0,,3.3
455,3.8,5.0,,3.3,2.8
456,5.0,,3.3,2.8,1.7
457,,3.3,2.8,1.7,3.9
458,3.3,2.8,1.7,3.9,3.1
459,2.8,1.7,3.9,3.1,3.8
460,1.7,3.9,3.1,3.8,5.8
461,3.9,3.1,3.8,5.8,8.0
462,3.1,3.8,5.8,8.0,10.8
463,3.8,5.8,8.0,10.8,9.1
464,5.8,8.0,10.8,9.1,10.4
465,8.0,10.8,9.1,10.4,17.3
466,10.8,9.1,10.4,17.3,25.7
467,9.1,10.4,17.3,25.7,44.1
468,10.4,17.3,25.7,44.1,41.6
469,17.3,25.7,44.1,41.6,
470,25.7,44.1,41.6,,
471,44.1,41.6,,,
472,41.6,,,,46.0
473,,,,46.0,44.6
474,,,46.0,44.6,38.1
475,,46.0,44.6,38.1,36.0
476,46.0,44.6,38.1,36.0,26.9
477,44.6,38.1,36.0,26.9,
478,38.1,36.0,26.9,,
479,36.0,26.9,,,
480,26.9,,,,10.1
481,,,,10.1,7.9
482,,,10.1,7.9,11.2
483,,10.1,7.9,11.2,9.1
484,10.1,7.9,11.2,9.1,10.7
485,7.9,11.2,9.1,10.7,9.1
486,11.2,9.1,10.7,9.1,6.5
487,9.1,10.7,9.1,6.5,11.0
488,10.7,9.1,6.5,11.0,6.8
489,9.1,6.5,11.0,6.8,8.0
490,6.5,11.0,6.8,8.0,5.3
491,11.0,6.8,8.0,5.3,8.3
492,6.8,8.0,5.3,8.3,10.3
493,8.0,5.3,8.3,10.3,6.8
494,5.3,8.3,10.3,6.8,7.5
495,8.3,10.3,6.8,7.5,6.9
496,10.3,6.8,7.5,6.9,11.4
497,6.8,7.5,6.9,11.4,
498,7.5,6.9,11.4,,9.4
499,6.9,11.4,,9.4,13.2
500,11.4,,9.4,13.2,17.0
501,,9.4,13.2,17.0,22.7
502,9.4,13.2,17.0,22.7,27.8
503,13.2,17.0,22.7,27.8,25.0
504,17.0,22.7,27.8,25.0,54.9
505,22.7,27.8,25.0,54.9,47.5
506,27.8,25.0,54.9,47.5,88.2
507,25.0,54.9,47.5,88.2,88.1
508,54.9,47.5,88.2,88.1,83.6
509,47.5,88.2,88.1,83.6,92.7
510,88.2,88.1,83.6,92.7,102.9
511,88.1,83.6,92.7,102.9,70.9
512,83.6,92.7,102.9,70.9,
513,92.7,102.9,70.9,,37.0
514,102.9,70.9,,37.0,36.0
515,70.9,,37.0,36.0,23.9
516,,37.0,36.0,23.9,15.7
517,37.0,36.0,23.9,15.7,11.3
518,36.0,23.9,15.7,11.3,10.1
519,23.9,15.7,11.3,10.1,10.1
520,15.7,11.3,10.1,10.1,7.3
521,11.3,10.1,10.1,7.3,5.0
522,10.1,10.1,7.3,5.0,7.1
