,0,1,2,3,4
431,75.0,85.5,,73.2,61.3
432,85.5,,73.2,61.3,59.0
433,,73.2,61.3,59.0,52.3
434,73.2,61.3,59.0,52.3,52.4
435,61.3,59.0,52.3,52.4,59.0
436,59.0,52.3,52.4,59.0,58.3
437,52.3,52.4,59.0,58.3,46.8
438,52.4,59.0,58.3,46.8,47.1
439,59.0,58.3,46.8,47.1,
440,58.3,46.8,47.1,,50.3
441,46.8,47.1,,50.3,48.7
442,47.1,,50.3,48.7,48.7
443,,50.3,48.7,48.7,47.4
444,50.3,48.7,48.7,47.4,43.9
445,48.7,48.7,47.4,43.9,43.2
446,48.7,47.4,43.9,43.2,44.8
447,47.4,43.9,43.2,44.8,42.3
448,43.9,43.2,44.8,42.3,43.0
449,43.2,44.8,42.3,43.0,39.9
450,44.8,42.3,43.0,39.9,42.5
451,42.3,43.0,39.9,42.5,44.8
452,43.0,39.9,42.5,44.8,40.5
453,39.9,42.5,44.8,40.5,40.5
454,42.5,44.8,40.5,40.5,39.2
455,44.8,40.5,40.5,39.2,40.8
456,40.5,40.5,39.2,40.8,46.9
457,40.5,39.2,40.8,46.9,43.2
458,39.2,40.8,46.9,43.2,40.7
459,40.8,46.9,43.2,40.7,40.4
460,46.9,43.2,40.7,40.4,45.1
461,43.2,40.7,40.4,45.1,43.2
462,40.7,40.4,45.1,43.2,42.7
463,40.4,45.1,43.2,42.7,43.7
464,45.1,43.2,42.7,43.7,49.7
465,43.2,42.7,43.7,49.7,54.3
466,42.7,43.7,49.7,54.3,56.4
467,43.7,49.7,54.3,56.4,63.4
468,49.7,54.3,56.4,63.4,66.5
469,54.3,56.4,63.4,66.5,
470,56.4,63.4,66.5,,
471,63.4,66.5,,,
472,66.5,,,,75.2
473,,,,75.2,79.7
474,,,75.2,79.7,81.4
475,,75.2,79.7,81.4,85.7
476,75.2,79.7,81.4,85.7,91.9
477,79.7,81.4,85.7,91.9,
478,81.4,85.7,91.9,,
479,85.7,91.9,,,
480,91.9,,,,69.5
481,,,,69.5,64.1
482,,,69.5,64.1,67.7
483,,69.5,64.1,67.7,63.3
484,69.5,64.1,67.7,63.3,59.3
485,64.1,67.7,63.3,59.3,56.9
486,67.7,63.3,59.3,56.9,55.9
487,63.3,59.3,56.9,55.9,57.8
488,59.3,56.9,55.9,57.8,57.9
489,56.9,55.9,57.8,57.9,58.2
490,55.9,57.8,57.9,58.2,57.4
491,57.8,57.9,58.2,57.4,60.8
492,57.9,58.2,57.4,60.8,69.7
493,58.2,57.4,60.8,69.7,57.5
494,57.4,60.8,69.7,57.5,59.9
495,60.8,69.7,57.5,59.9,59.2
496,69.7,57.5,59.9,59.2,62.8
497,57.5,59.9,59.2,62.8,
498,59.9,59.2,62.8,,87.3
499,59.2,62.8,,87.3,106.0
500,62.8,,87.3,106.0,115.8
501,,87.3,106.0,115.8,132.4
502,87.3,106.0,115.8,132.4,148.0
503,106.0,115.8,132.4,148.0,154.8
504,115.8,132.4,148.0,154.8,151.2
505,132.4,148.0,154.8,151.2,158.6
506,148.0,154.8,151.2,158.6,163.2
507,154.8,151.2,158.6,163.2,161.0
508,151.2,158.6,163.2,161.0,162.1
509,158.6,163.2,161.0,162.1,157.3
510,163.2,161.0,162.1,157.3,161.9
511,161.0,162.1,157.3,161.9,164.8
512,162.1,157.3,161.9,164.8,
513,157.3,161.9,164.8,,144.4
514,161.9,164.8,,144.4,142.1
515,164.8,,144.4,142.1,131.3
516,,144.4,142.1,131.3,119.3
517,144.4,142.1,131.3,119.3,111.6
518,142.1,131.3,119.3,111.6,112.2
519,131.3,119.3,111.6,112.2,117.3
520,119.3,111.6,112.2,117.3,100.0
521,111.6,112.2,117.3,100.0,87.9
522,112.2,117.3,100.0,87.9,93.1
523,117.3,100.0,87.9,93.1,95.6
524,100.0,87.9,93.1,95.6,75.8
525,87.9,93.1,95.6,75.8,
526,93.1,95.6,75.8,,66.2
527,95.6,75.8,,66.2,53.4
528,75.8,,66.2,53.4,45.7
529,,66.2,53.4,45.7,43.1
530,66.2,53.4,45.7,43.1,43.5
531,53.4,45.7,43.1,43.5,39.5
532,45.7,43.1,43.5,39.5,41.2
533,43.1,43.5,39.5,41.2,41.2
534,43.5,39.5,41.2,41.2,37.8
535,39.5,41.2,41.2,37.8,36.8
536,41.2,41.2,37.8,36.8,35.9
537,41.2,37.8,36.8,35.9,35.4
538,37.8,36.8,35.9,35.4,35.7
539,36.8,35.9,35.4,35.7,36.8
540,35.9,35.4,35.7,36.8,34.0
541,35.4,35.7,36.8,34.0,33.9
542,35.7,36.8,34.0,33.9,33.0
543,36.8,34.0,33.9,33.0,31.2
544,34.0,33.9,33.0,31.2,33.3
545,33.9,33.0,31.2,33.3,35.7
546,33.0,31.2,33.3,35.7,49.6
547,31.2,33.3,35.7,49.6,37.7
548,33.3,35.7,49.6,37.7,38.1
549,35.7,49.6,37.7,38.1,38.1
550,49.6,37.7,38.1,38.1,34.2
551,37.7,38.1,38.1,34.2,37.1
552,38.1,38.1,34.2,37.1,38.4
553,38.1,34.2,37.1,38.4,36.8
554,34.2,37.1,38.4,36.8,41.2
555,37.1,38.4,36.8,41.2,44.4
556,38.4,36.8,41.2,44.4,44.7
557,36.8,41.2,44.4,44.7,46.7
558,41.2,44.4,44.7,46.7,50.6
559,44.4,44.7,46.7,50.6,52.0
560,44.7,46.7,50.6,52.0,44.9
561,46.7,50.6,52.0,44.9,49.8
562,50.6,52.0,44.9,49.8,51.7
563,52.0,44.9,49.8,51.7,57.0
564,44.9,49.8,51.7,57.0,50.0
565,49.8,51.7,57.0,50.0,
566,51.7,57.0,50.0,,
567,57.0,50.0,,,
568,50.0,,,,56.2
569,,,,56.2,56.5
570,,,56.2,56.5,56.4
571,,56.2,56.5,56.4,60.5
572,56.2,56.5,56.4,60.5,60.9
573,56.5,56.4,60.5,60.9,
574,56.4,60.5,60.9,,
575,60.5,60.9,,,
576,60.9,,,,14.0
577,,,,14.0,17.3
578,,,14.0,17.3,14.4
579,,14.0,17.3,14.4,38.5
580,14.0,17.3,14.4,38.5,61.3
581,17.3,14.4,38.5,61.3,60.4
582,14.4,38.5,61.3,60.4,67.7
583,38.5,61.3,60.4,67.7,64.1
584,61.3,60.4,67.7,64.1,59.4
585,60.4,67.7,64.1,59.4,60.9
586,67.7,64.1,59.4,60.9,60.1
