,0,1,2,3,4
455,13.5,13.0,12.9,13.5,13.5
456,13.0,12.9,13.5,13.5,13.3
457,12.9,13.5,13.5,13.3,13.6
458,13.5,13.5,13.3,13.6,13.7
459,13.5,13.3,13.6,13.7,13.6
460,13.3,13.6,13.7,13.6,13.6
461,13.6,13.7,13.6,13.6,13.3
462,13.7,13.6,13.6,13.3,12.5
463,13.6,13.6,13.3,12.5,13.0
464,13.6,13.3,12.5,13.0,14.1
465,13.3,12.5,13.0,14.1,14.7
466,12.5,13.0,14.1,14.7,15.2
467,13.0,14.1,14.7,15.2,15.6
468,14.1,14.7,15.2,15.6,16.3
469,14.7,15.2,15.6,16.3,
470,15.2,15.6,16.3,,
471,15.6,16.3,,,
472,16.3,,,,19.5
473,,,,19.5,
474,,,19.5,,
475,,19.5,,,
476,19.5,,,,20.5
477,,,,20.5,19.7
478,,,20.5,19.7,19.3
479,,20.5,19.7,19.3,18.3
480,20.5,19.7,19.3,18.3,15.9
481,19.7,19.3,18.3,15.9,15.1
482,19.3,18.3,15.9,15.1,14.8
483,18.3,15.9,15.1,14.8,14.6
484,15.9,15.1,14.8,14.6,14.6
485,15.1,14.8,14.6,14.6,14.4
486,14.8,14.6,14.6,14.4,14.0
487,14.6,14.6,14.4,14.0,14.2
488,14.6,14.4,14.0,14.2,14.6
489,14.4,14.0,14.2,14.6,14.4
490,14.0,14.2,14.6,14.4,14.5
491,14.2,14.6,14.4,14.5,14.9
492,14.6,14.4,14.5,14.9,15.6
493,14.4,14.5,14.9,15.6,15.8
494,14.5,14.9,15.6,15.8,16.7
495,14.9,15.6,15.8,16.7,16.7
496,15.6,15.8,16.7,16.7,17.3
497,15.8,16.7,16.7,17.3,
498,16.7,16.7,17.3,,18.3
499,16.7,17.3,,18.3,17.5
500,17.3,,18.3,17.5,17.3
501,,18.3,17.5,17.3,17.6
502,18.3,17.5,17.3,17.6,18.7
503,17.5,17.3,17.6,18.7,17.9
504,17.3,17.6,18.7,17.9,18.9
505,17.6,18.7,17.9,18.9,20.0
506,18.7,17.9,18.9,20.0,20.1
507,17.9,18.9,20.0,20.1,22.1
508,18.9,20.0,20.1,22.1,22.3
509,20.0,20.1,22.1,22.3,22.3
510,20.1,22.1,22.3,22.3,23.2
511,22.1,22.3,22.3,23.2,20.6
512,22.3,22.3,23.2,20.6,
513,22.3,23.2,20.6,,14.9
514,23.2,20.6,,14.9,15.2
515,20.6,,14.9,15.2,14.4
516,,14.9,15.2,14.4,14.0
517,14.9,15.2,14.4,14.0,13.1
518,15.2,14.4,14.0,13.1,12.6
519,14.4,14.0,13.1,12.6,12.9
520,14.0,13.1,12.6,12.9,13.0
521,13.1,12.6,12.9,13.0,12.4
522,12.6,12.9,13.0,12.4,11.5
523,12.9,13.0,12.4,11.5,11.4
524,13.0,12.4,11.5,11.4,11.3
525,12.4,11.5,11.4,11.3,
526,11.5,11.4,11.3,,11.3
