,0,1,6
13,Prescribed Standards, ,0-80
14,Exceeding Standards, ,NA
15,Remarks,,
16,From Date,To Date,SO2
2151,21-01-2021 05:30,21-01-2021 05:45,20.1
2152,21-01-2021 05:45,21-01-2021 06:00,19.1
2153,21-01-2021 06:00,21-01-2021 06:15,18.4
2154,21-01-2021 06:15,21-01-2021 06:30,17.2
2155,21-01-2021 06:30,21-01-2021 06:45,16.6
2156,21-01-2021 06:45,21-01-2021 07:00,16
2157,21-01-2021 07:00,21-01-2021 07:15,15.3
2158,21-01-2021 07:15,21-01-2021 07:30,14.9
2159,21-01-2021 07:30,21-01-2021 07:45,15.8
2160,21-01-2021 07:45,21-01-2021 08:00,15.2
2161,21-01-2021 08:00,21-01-2021 08:15,15.4
2162,21-01-2021 08:15,21-01-2021 08:30,16.2
2163,21-01-2021 08:30,21-01-2021 08:45,17.1
2164,21-01-2021 08:45,21-01-2021 09:00,17.2
2165,21-01-2021 09:00,21-01-2021 09:15,18.2
2166,21-01-2021 09:15,21-01-2021 09:30,19.1
2167,21-01-2021 09:30,21-01-2021 09:45,None
2168,21-01-2021 09:45,21-01-2021 10:00,None
2169,21-01-2021 10:00,21-01-2021 10:15,None
2170,21-01-2021 10:15,21-01-2021 10:30,21.2
2171,21-01-2021 10:30,21-01-2021 10:45,None
2172,21-01-2021 10:45,21-01-2021 11:00,None
2173,21-01-2021 11:00,21-01-2021 11:15,None
2174,21-01-2021 11:15,21-01-2021 11:30,26.8
2175,21-01-2021 11:30,21-01-2021 11:45,28.4
2176,21-01-2021 11:45,21-01-2021 12:00,29.4
2177,21-01-2021 12:00,21-01-2021 12:15,28.7
2178,21-01-2021 12:15,21-01-2021 12:30,None
2179,21-01-2021 12:30,21-01-2021 12:45,None
2180,21-01-2021 12:45,21-01-2021 13:00,None
2181,21-01-2021 13:00,21-01-2021 13:15,9.2
2182,21-01-2021 13:15,21-01-2021 13:30,16.5
2183,21-01-2021 13:30,21-01-2021 13:45,18.2
2184,21-01-2021 13:45,21-01-2021 14:00,19.3
2185,21-01-2021 14:00,21-01-2021 14:15,19.8
2186,21-01-2021 14:15,21-01-2021 14:30,19.6
2187,21-01-2021 14:30,21-01-2021 14:45,19
2188,21-01-2021 14:45,21-01-2021 15:00,19.3
2189,21-01-2021 15:00,21-01-2021 15:15,18.5
2190,21-01-2021 15:15,21-01-2021 15:30,None
2191,21-01-2021 15:30,21-01-2021 15:45,17.9
2192,21-01-2021 15:45,21-01-2021 16:00,17.5
2193,21-01-2021 16:00,21-01-2021 16:15,17.3
2194,21-01-2021 16:15,21-01-2021 16:30,17.3
2195,21-01-2021 16:30,21-01-2021 16:45,17.3
2196,21-01-2021 16:45,21-01-2021 17:00,17
2197,21-01-2021 17:00,21-01-2021 17:15,17.2
2198,21-01-2021 17:15,21-01-2021 17:30,17.1
2199,21-01-2021 17:30,21-01-2021 17:45,19.8
2200,21-01-2021 17:45,21-01-2021 18:00,None
2201,21-01-2021 18:00,21-01-2021 18:15,22.1
2202,21-01-2021 18:15,21-01-2021 18:30,None
2203,21-01-2021 18:30,21-01-2021 18:45,27.3
2204,21-01-2021 18:45,21-01-2021 19:00,24.1
2205,21-01-2021 19:00,21-01-2021 19:15,25.4
2206,21-01-2021 19:15,21-01-2021 19:30,34.6
2207,21-01-2021 19:30,21-01-2021 19:45,35.5
2208,21-01-2021 19:45,21-01-2021 20:00,31.9
2209,21-01-2021 20:00,21-01-2021 20:15,63.5
2210,21-01-2021 20:15,21-01-2021 20:30,90
2211,21-01-2021 20:30,21-01-2021 20:45,59.4
2212,21-01-2021 20:45,21-01-2021 21:00,46.6
2213,21-01-2021 21:00,21-01-2021 21:15,40.1
2214,21-01-2021 21:15,21-01-2021 21:30,20.5
2215,21-01-2021 21:30,21-01-2021 21:45,14.8
2216,21-01-2021 21:45,21-01-2021 22:00,10.7
2217,21-01-2021 22:00,21-01-2021 22:15,8.6
2218,21-01-2021 22:15,21-01-2021 22:30,7.1
2219,21-01-2021 22:30,21-01-2021 22:45,5.4
2220,21-01-2021 22:45,21-01-2021 23:00,5.3
2221,21-01-2021 23:00,21-01-2021 23:15,4.7
2222,21-01-2021 23:15,21-01-2021 23:30,3.4
2223,21-01-2021 23:30,21-01-2021 23:45,None
2224,21-01-2021 23:45,22-01-2021 00:00,None
2225,22-01-2021 00:00,22-01-2021 00:15,5.4
2226,22-01-2021 00:15,22-01-2021 00:30,11.2
2227,22-01-2021 00:30,22-01-2021 00:45,12.2
2228,22-01-2021 00:45,22-01-2021 01:00,12.7
2229,22-01-2021 01:00,22-01-2021 01:15,12.9
2230,22-01-2021 01:15,22-01-2021 01:30,12.9
2231,22-01-2021 01:30,22-01-2021 01:45,12.8
2232,22-01-2021 01:45,22-01-2021 02:00,12.6
2233,22-01-2021 02:00,22-01-2021 02:15,12.8
2234,22-01-2021 02:15,22-01-2021 02:30,12.4
2235,22-01-2021 02:30,22-01-2021 02:45,11.9
2236,22-01-2021 02:45,22-01-2021 03:00,11.9
2237,22-01-2021 03:00,22-01-2021 03:15,11.9
2238,22-01-2021 03:15,22-01-2021 03:30,11.6
2239,22-01-2021 03:30,22-01-2021 03:45,11.2
2240,22-01-2021 03:45,22-01-2021 04:00,10.5
2241,22-01-2021 04:00,22-01-2021 04:15,10.7
2242,22-01-2021 04:15,22-01-2021 04:30,11
2243,22-01-2021 04:30,22-01-2021 04:45,11.3
2244,22-01-2021 04:45,22-01-2021 05:00,11.4
2245,22-01-2021 05:00,22-01-2021 05:15,12
2246,22-01-2021 05:15,22-01-2021 05:30,12.2
2247,22-01-2021 05:30,22-01-2021 05:45,11.6
2248,22-01-2021 05:45,22-01-2021 06:00,11
2249,22-01-2021 06:00,22-01-2021 06:15,11.4
2250,22-01-2021 06:15,22-01-2021 06:30,11.4
2251,22-01-2021 06:30,22-01-2021 06:45,11.7
2252,22-01-2021 06:45,22-01-2021 07:00,12
2253,22-01-2021 07:00,22-01-2021 07:15,12.1
2254,22-01-2021 07:15,22-01-2021 07:30,12.1
2255,22-01-2021 07:30,22-01-2021 07:45,12.5
2256,22-01-2021 07:45,22-01-2021 08:00,12.3
2257,22-01-2021 08:00,22-01-2021 08:15,12.5
2258,22-01-2021 08:15,22-01-2021 08:30,13
2259,22-01-2021 08:30,22-01-2021 08:45,12.9
2260,22-01-2021 08:45,22-01-2021 09:00,12.9
2261,22-01-2021 09:00,22-01-2021 09:15,12.9
2262,22-01-2021 09:15,22-01-2021 09:30,12.9
2263,22-01-2021 09:30,22-01-2021 09:45,None
2264,22-01-2021 09:45,22-01-2021 10:00,None
2265,22-01-2021 10:00,22-01-2021 10:15,None
2266,22-01-2021 10:15,22-01-2021 10:30,13.9
2267,22-01-2021 10:30,22-01-2021 10:45,None
2268,22-01-2021 10:45,22-01-2021 11:00,None
2269,22-01-2021 11:00,22-01-2021 11:15,None
